https://logo.clearbit.com/IQ.com,EQUL,12,55.0,22.18,10097552,6,Other,1871,5891592,45258307,7298810
https://logo.clearbit.com/winmarkcorporation.com,WINA,21.46,16530.0,240.0,825723000.0,11.19,Consumer Cyclical,85,80660000.0,5.00%,73630000.0
https://logo.clearbit.com/iPath.com,BCM,19,1884.0,43.75,43822302,5,Other,8965,47096880,21745750,49754752
https://logo.clearbit.com/whitehorsefinance.com,WHF,15.2,64244.0,12.9,300364000.0,0.85,Financial Services,10864,80050000.0,17.30%,72140000.0
https://logo.clearbit.com/ir.meetipower.com,IPW,10.8,40684.0,0.525,15966000.0,0.05,Consumer Cyclical,80,88070000.0,49.80%,33200000.000000004
https://logo.clearbit.com/vaxxinity.com,VAXX,18,347590.0,2.0,233204000.0,-1.358,Healthcare,89,-1000.0,100%,-1870000.0
https://logo.clearbit.com/moxianglobal.com,MOXC,9,40066.0,0.7999,28092000.0,-0.145,Communication Services,11,219330.0,162.00%,219330.0
https://logo.clearbit.com/FG.com,FGMC,1012.0,2382.0,10.14,102797000.0,0.01,Financial Services,11257,3975397,0%,29394052
https://logo.clearbit.com/arraytechinc.com,ARRY,19,3905195.0,20.19,3127000000.0,-0.78,Technology,1118,1460000000.0,173.00%,82860000.0
https://logo.clearbit.com/owens-minor.com,OMI,13.3,940130.0,21.07,1632000000.0,1.61,Healthcare,17300,9870000000.0,-0.20%,1510000000.0
https://logo.clearbit.com/kennedywilson.com,KW,27.49,610315.0,16.05,2235000000.0,0.59,Real Estate,228,669900000.0,-20.80%,486800000.0
https://logo.clearbit.com/umh.reit,UMH,85.05,263265.0,16.99,948056000.0,0.2,Real Estate,430,192630000.0,7.90%,97960000.0
https://logo.clearbit.com/vmware.com,VMW,36.04,1070480.0,118.16,50745000000.0,3.31,Technology,37500,13170000000.0,0.70%,10580000000.0
https://logo.clearbit.com/assuredguaranty.com,AGO,15.78,319501.0,63.24,3816000000.0,4.03,Financial Services,407,777000000.0,-49.30%,950000000.0
https://logo.clearbit.com/norfolksouthern.com,NSC,18.13,1408660.0,241.55,56969000000.0,13.57,Industrials,18100,12360000000.0,17.20%,5730000000.0
https://logo.clearbit.com/arberobotics.com,ARBE,20,24733.0,3.25,203945000.0,-1.342,Technology,118,3890000.0,100.00%,809000.0
https://logo.clearbit.com/Invesco.com,BSMR,16,32698.0,23.62,35258559,8,Other,4065,15975194,33450706,45514857
